striker,n_balls_mi,mean_P_j,mean_RPB,mean_BoundaryRate,mean_DismissalRate,NCBPI,confidence,CWBPI,CWBPI_normalized
MM Ali,37,0.7702702702702703,1.6756756756756757,0.2162162162162162,0.054054054054054,1.4864864864864864,0.068901303538175,0.9133428608548784,0.8689300824414401
JP Inglis,51,0.7254901960784313,1.588235294117647,0.2352941176470588,0.0588235294117647,1.303921568627451,0.0925589836660617,0.9110074705609252,0.8667082542894597
RM Patidar,149,0.5536912751677853,1.6442953020134228,0.2348993288590604,0.0201342281879194,1.023489932885906,0.2295839753466872,0.9059554950370876,0.8619019392717768
DP Conway,62,0.7258064516129032,1.403225806451613,0.1612903225806451,0.032258064516129,1.185483870967742,0.1103202846975089,0.905631879500124,0.8615940600653308
RE van der Merwe,88,0.7386363636363636,1.2954545454545454,0.1818181818181818,0.0681818181818181,1.1022727272727273,0.1496598639455782,0.9055529188419554,0.8615189389972712
RR Pant,190,0.6052631578947368,1.5368421052631578,0.1684210526315789,0.0368421052631578,0.9947368421052633,0.2753623188405797,0.9050219076508256,0.8610137490868207
JM Sharma,11,1.0,2.1818181818181817,0.3636363636363636,0.0909090909090909,2.4545454545454546,0.0215264187866927,0.9050197970236198,0.8610117410922872
PD Salt,37,0.6351351351351351,1.945945945945946,0.3243243243243243,0.027027027027027,1.364864864864865,0.068901303538175,0.904962972586722,0.8609576798358253
SA Asnodkar,41,0.7439024390243902,1.6341463414634143,0.2682926829268293,0.048780487804878,1.304878048780488,0.0757855822550831,0.903817220478872,0.8598676417830838
JC Buttler,155,0.6129032258064516,1.5096774193548388,0.2258064516129032,0.0129032258064516,1.0,0.2366412213740458,0.9014734599680454,0.8576378504296053
Yuvraj Singh,102,0.6176470588235294,1.4901960784313726,0.2549019607843137,0.0686274509803921,1.0490196078431373,0.1694352159468438,0.9011048443173916,0.8572871593130053
DA Miller,97,0.6082474226804123,1.556701030927835,0.1855670103092783,0.0206185567010309,1.0515463917525774,0.1624790619765494,0.9002765766818589,0.856499167535029
DJ Bravo,129,0.7131782945736435,1.4031007751937985,0.1937984496124031,0.0620155038759689,1.0116279069767442,0.205087440381558,0.8997855584722889,0.8560320258825257
CH Gayle,190,0.6157894736842106,1.3157894736842106,0.2052631578947368,0.0368421052631578,0.968421052631579,0.2753623188405797,0.8977755308392315,0.8541197391041876
Rahmanullah Gurbaz,50,0.85,1.24,0.22,0.04,1.16,0.0909090909090909,0.8972093023255814,0.8535810443706611
MM Sharma,15,0.8,1.6666666666666667,0.2,0.0,1.7333333333333334,0.029126213592233,0.8960487694739219,0.852476944311758
M Vohra,116,0.7241379310344828,1.2586206896551724,0.146551724137931,0.0344827586206896,1.0043103448275863,0.1883116883116883,0.8960472666868016,0.8524755146000996
RD Gaikwad,137,0.656934306569343,1.3722627737226278,0.1678832116788321,0.0364963503649635,0.9854014598540146,0.2150706436420722,0.8955496330911614,0.8520020792454065
