striker,NCBPI,n_balls,confidence,CWBPI,CWBPI_normalized
RD Rickelton,0.488530030819521,266,0.0961677512653651,0.3277814287970125,0.8159035517168826
BA Stokes,0.3838048424618535,731,0.2262457443515939,0.3272224647768985,0.8145121954982989
A Mhatre,0.6427464694618487,131,0.0497909540098821,0.3272117945093296,0.8144856353931728
A Raghuvanshi,0.4535233023341072,326,0.1153573956121726,0.3271560652567101,0.814346915834491
SN Khan,0.4173877349122648,456,0.1542625169147496,0.3271391241456484,0.8143047465366879
D Brevis,0.4612428627925869,305,0.1087344028520499,0.327049382176928,0.8140813635607648
V Suryavanshi,0.6428360730224004,129,0.0490680867249904,0.3269761495908838,0.8138990752374934
LRPL Taylor,0.364484154117969,1082,0.3020658849804578,0.3269308482998845,0.8137863126433486
MK Lomror,0.4243464125426548,392,0.1355463347164592,0.3260851443884041,0.8116812122183179
PC Valthaty,0.4020446741312019,507,0.1686065846358496,0.3260828379245306,0.8116754710386751
A Badoni,0.3772897625184104,740,0.228395061728395,0.3258916259623974,0.8111995120448792
MC Henriques,0.3700899803893482,841,0.2517210416043101,0.3256330791266046,0.8105559451338962
Ashutosh Sharma,0.4706957497965246,256,0.09288824383164,0.3255415659660574,0.8103281533612099
EJG Morgan,0.355811653761446,1221,0.3281375974200484,0.3254878992467803,0.8101945677977206
SR Tendulkar,0.3404240661289475,2459,0.4958661020367009,0.3254279537135765,0.8100453532017929
DJ Hussey,0.356974705886789,1162,0.3173129437465866,0.3253683921613852,0.8098970943997094
Mohammad Nabi,0.4912538317288695,221,0.0812201396545387,0.3253441898811555,0.8098368508207137
HM Amla,0.4107946385218482,418,0.1432488005483207,0.32501939779187,0.8090283882418844
IK Pathan,0.3556397165742043,1156,0.3161925601750547,0.3248944081549026,0.8087172678434416
JP Inglis,0.5235235684299057,177,0.0661187896899514,0.3247508836259385,0.8083600109562223
BCJ Cutting,0.5652925118152798,146,0.055177626606198,0.324726814277995,0.8083000982682256
R Shepherd,0.7019076067327854,93,0.0358657925183185,0.3247095454225581,0.8082571131591034
MJ Guptill,0.4630888076703881,251,0.0912395492548164,0.3245836912322106,0.8079438407407122
R Dravid,0.340021168496631,2225,0.4708994708994709,0.3244955648168355,0.807724479150983
MJ Lumb,0.495946245234187,198,0.0733876945885841,0.3242742032657202,0.8071734727183386
KR Mayers,0.4473171918596108,276,0.0994236311239193,0.3242629642679383,0.807145496947284
R Powell,0.4529085084498088,261,0.0945309670409272,0.3241229860774879,0.8067970674979081
KM Jadhav,0.356873581273687,1024,0.2905788876276958,0.3241013028032916,0.8067430941520277
K Gowtham,0.5253823174293195,165,0.0619136960600375,0.3239709291671226,0.8064185720667134
MEK Hussey,0.3438294034470144,1648,0.3972999035679845,0.3238489153170742,0.8061148589064575
LMP Simmons,0.3611074363357108,878,0.2599171107164002,0.3237853087499402,0.8059565313763482
R Ravindra,0.4334293417784546,298,0.1065046461758398,0.3237513894583715,0.8058721005086074
JR Hopes,0.4272283591072607,314,0.1115849324804548,0.3236830663163553,0.8057020326239195
NV Ojha,0.344785838469194,1538,0.3808816245666171,0.3236689111986539,0.8056667981359562
TM Dilshan,0.3457968767304674,1463,0.3691647741609891,0.3236425118625329,0.8056010857123356
JC Archer,0.4875488975889662,196,0.072700296735905,0.3235363604532572,0.8053368568566445
CL White,0.3617321335415951,774,0.2364080635308491,0.3227474389785396,0.8033730975441961
JP Faulkner,0.3961293716297542,406,0.1397109428768066,0.3226163003221694,0.8030466711938915
SE Rutherford,0.4055888613508109,358,0.1252624212736179,0.3225665697054354,0.8029228832569993
NLTC Perera,0.4125613342221902,326,0.1153573956121726,0.3224307992961706,0.8025849276884249
Aniket Verma,0.5181286067040997,148,0.0558912386706948,0.3222724613469602,0.8021907976865927
SN Thakur,0.4396628266055979,246,0.0895848506919155,0.3222328839036858,0.8020922827199153
SM Katich,0.409887098595454,310,0.1103202846975089,0.3216225780851013,0.800573128059921
V Nigam,0.6458725767611028,82,0.0317583268783888,0.3213230035433596,0.7998274362325709
KC Sangakkara,0.3361293179097799,1774,0.415067852129153,0.3212418937357261,0.7996255401691786
Shakib Al Hasan,0.357477275175133,716,0.222636815920398,0.3210970686815732,0.79926504605426
A Ashish Reddy,0.4534696240477525,196,0.072700296735905,0.3210587871542669,0.79916975684215
BJ Hodge,0.3381476758085899,1493,0.3739043325820185,0.3209488915193511,0.7988962079740062
Ramandeep Singh,0.5010676743120085,142,0.0537471612414837,0.3209106940222745,0.7988011279273853
Rahmanullah Gurbaz,0.4107927707714971,283,0.1016888250089831,0.320858353569126,0.798670843665159
SA Asnodkar,0.3751900039040723,450,0.1525423728813559,0.3205186256309751,0.7978252032261259
TL Suman,0.3506388418068648,780,0.2378048780487804,0.3201807135560667,0.7969840827785836
AP Tare,0.401997923548013,285,0.1023339317773788,0.3200229271331159,0.796591325619123
PBB Rajapaksa,0.4360830689144211,201,0.0744168826360607,0.3200100483918336,0.7965592682484769
